medidor,kwh_a,delta_kwh_a,kvah_a,delta_kvah_a,tensao_a,corrente_a,kwh_b,delta_kwh_b,kvah_b,delta_kvah_b,tensao_b,corrente_b,kwh_c,delta_kwh_c,kvah_c,delta_kvah_c,tensao_c,corrente_c,temperatura,conexao_wifi,conexao_ethernet,cartao_sd,rtc,data,criado_em
Med. 2 de consumo em rede trifasica (Need),23.785812,0.047269,25.050387,0.047814,216.66,5.21,14.949168,0.001813,16.986667,0.003149,219.64,0.34,9.617711,0.009952,180.263202,0.013433,219.51,1.45,,True,False,False,True,2020-04-22 19:50:17+00:00,2020-04-22 19:51:08.575099+00:00
Med. 2 de consumo em rede trifasica (Need),23.738543,0.046575,25.002573,0.047098,216.69,5.21,14.947355,0.001788,16.983518,0.003118,219.11,0.34,9.607759,0.009825,180.249769,0.013381,219.11,1.47,,True,False,False,True,2020-04-22 19:47:44+00:00,2020-04-22 19:48:37.228955+00:00
Med. 2 de consumo em rede trifasica (Need),23.691968,0.046581,24.955475,0.047102,216.21,5.22,14.945567,0.001805,16.9804,0.003114,219.79,0.34,9.597934,0.009757,180.236388,0.013167,219.35,1.43,,True,False,False,True,2020-04-22 19:45:13+00:00,2020-04-22 19:46:05.067117+00:00
Med. 2 de consumo em rede trifasica (Need),23.645387,0.046641,24.908373,0.047166,216.53,5.22,14.943762,0.001784,16.977286,0.003107,219.97,0.34,9.588177,0.009916,180.223221,0.013299,219.54,1.45,,True,False,False,True,2020-04-22 19:42:43+00:00,2020-04-22 19:43:34.490599+00:00
Med. 2 de consumo em rede trifasica (Need),23.598746,0.046689,24.861207,0.047209,216.14,5.23,14.941978,0.001799,16.974179,0.003121,220.04,0.34,9.578261,0.009918,180.209922,0.01328,218.9,1.45,,True,False,False,True,2020-04-22 19:40:12+00:00,2020-04-22 19:41:04.072697+00:00
Med. 2 de consumo em rede trifasica (Need),23.552057,0.047364,24.813998,0.047892,215.39,5.25,14.940179,0.001838,16.971058,0.003177,219.96,0.34,9.568343,0.010067,180.196642,0.013462,219.09,1.45,,True,False,False,True,2020-04-22 19:37:42+00:00,2020-04-22 19:38:33.322374+00:00
Med. 2 de consumo em rede trifasica (Need),23.504693,0.047783,24.766106,0.048316,215.58,5.25,14.938341,0.001855,16.967881,0.003239,219.73,0.35,9.558276,0.009831,180.18318,0.013387,218.92,1.43,,True,False,False,True,2020-04-22 19:35:09+00:00,2020-04-22 19:36:00.426466+00:00
Med. 2 de consumo em rede trifasica (Need),23.45691,0.046743,24.71779,0.047248,216.01,5.24,14.936486,0.001781,16.964642,0.003121,219.85,0.34,9.548445,0.010114,180.169793,0.01354,219.35,1.48,,True,False,False,True,2020-04-22 19:32:35+00:00,2020-04-22 19:33:26.317715+00:00
Med. 2 de consumo em rede trifasica (Need),23.410167,0.046737,24.670542,0.047225,215.87,5.24,14.934705,0.001763,16.961521,0.003148,219.83,0.34,9.538331,0.009832,180.156253,0.013352,219.16,1.47,,True,False,False,True,2020-04-22 19:30:04+00:00,2020-04-22 19:30:55.871359+00:00
Med. 2 de consumo em rede trifasica (Need),23.36343,0.046867,24.623317,0.047352,215.55,5.27,14.932942,0.001773,16.958373,0.003162,219.4,0.35,9.528499,0.007488,180.142901,0.010262,219.01,1.12,,True,False,False,True,2020-04-22 19:27:34+00:00,2020-04-22 19:28:25.172284+00:00
Med. 2 de consumo em rede trifasica (Need),23.316563,0.047575,24.575965,0.048039,214.94,5.27,14.931169,0.00183,16.955211,0.003216,219.63,0.35,9.521011,0.008191,180.132639,0.010989,219.56,1.18,,False,False,False,True,2020-04-22 19:25:03+00:00,2020-04-22 19:25:54.702764+00:00
Med. 2 de consumo em rede trifasica (Need),23.268988,0.046932,24.527926,0.047414,215.63,5.27,14.929339,0.001771,16.951995,0.003136,219.31,0.34,9.51282,0.007506,180.12165,0.010193,219.19,1.12,,True,False,False,True,2020-04-22 19:20:00+00:00,2020-04-22 19:20:51.219805+00:00
